rank_family,rank,subject_group,horizon,metric,value,signed_mean,n,analysis_status
largest_abs_mean_return_d5,8,capital_structure,d5,abs_mean_return,0.0006374028363634886,0.0006374028363634886,299,inferential
largest_abs_mean_return_d5,9,regulatory_compliance,d5,abs_mean_return,2.9247353945219e-05,2.9247353945219e-05,127,inferential
largest_abs_mean_return_d10,1,corporate_actions,d10,abs_mean_return,0.02532851551998743,0.02532851551998743,32,inferential
largest_abs_mean_return_d10,2,strategic_transactions,d10,abs_mean_return,0.021556401878245455,0.021556401878245455,129,inferential
largest_abs_mean_return_d10,3,investor_communication,d10,abs_mean_return,0.012840025456433363,0.012840025456433363,360,inferential
largest_abs_mean_return_d10,4,capital_structure,d10,abs_mean_return,0.007162414543720049,0.007162414543720049,298,inferential
largest_abs_mean_return_d10,5,business_updates,d10,abs_mean_return,0.0060327730049977565,0.0060327730049977565,681,inferential
largest_abs_mean_return_d10,6,board_governance,d10,abs_mean_return,0.004757633137264148,0.004757633137264148,349,inferential
largest_abs_mean_return_d10,7,credit_ratings,d10,abs_mean_return,0.004484994141338942,-0.004484994141338942,31,inferential
largest_abs_mean_return_d10,8,regulatory_compliance,d10,abs_mean_return,0.0025471961232322255,0.0025471961232322255,127,inferential
largest_abs_mean_return_d10,9,financial_results,d10,abs_mean_return,0.000528139833577363,0.000528139833577363,72,inferential
largest_abs_mean_return_d20,1,strategic_transactions,d20,abs_mean_return,0.04164233455067902,0.04164233455067902,127,inferential
largest_abs_mean_return_d20,2,credit_ratings,d20,abs_mean_return,0.020402198246844284,0.020402198246844284,31,inferential
largest_abs_mean_return_d20,3,investor_communication,d20,abs_mean_return,0.018547299983505232,0.018547299983505232,351,inferential
largest_abs_mean_return_d20,4,business_updates,d20,abs_mean_return,0.013629916591192816,0.013629916591192816,672,inferential
largest_abs_mean_return_d20,5,financial_results,d20,abs_mean_return,0.01284459641559681,0.01284459641559681,71,inferential
largest_abs_mean_return_d20,6,capital_structure,d20,abs_mean_return,0.010386842442898326,0.010386842442898326,297,inferential
largest_abs_mean_return_d20,7,regulatory_compliance,d20,abs_mean_return,0.009593112235507456,0.009593112235507456,121,inferential
largest_abs_mean_return_d20,8,corporate_actions,d20,abs_mean_return,0.00211417622602666,-0.00211417622602666,31,inferential
largest_abs_mean_return_d20,9,board_governance,d20,abs_mean_return,0.0017105483343774987,0.0017105483343774987,334,inferential
highest_mean_volume_ratio_5m,1,financial_results,5m,mean_volume_ratio,15.574006542715155,15.574006542715155,74,inferential
highest_mean_volume_ratio_5m,2,investor_communication,5m,mean_volume_ratio,3.913147838530079,3.913147838530079,364,inferential
highest_mean_volume_ratio_5m,3,strategic_transactions,5m,mean_volume_ratio,3.4848530530569226,3.4848530530569226,128,inferential
highest_mean_volume_ratio_5m,4,business_updates,5m,mean_volume_ratio,2.9668930154668924,2.9668930154668924,677,inferential
highest_mean_volume_ratio_5m,5,regulatory_compliance,5m,mean_volume_ratio,2.692920034542261,2.692920034542261,126,inferential
highest_mean_volume_ratio_5m,6,board_governance,5m,mean_volume_ratio,2.1248077004137165,2.1248077004137165,349,inferential
highest_mean_volume_ratio_5m,7,corporate_actions,5m,mean_volume_ratio,2.0684676133967765,2.0684676133967765,31,inferential
highest_mean_volume_ratio_5m,8,credit_ratings,5m,mean_volume_ratio,1.3229858462745416,1.3229858462745416,30,inferential
highest_mean_volume_ratio_5m,9,capital_structure,5m,mean_volume_ratio,1.2685607897321536,1.2685607897321536,294,inferential
highest_mean_volume_ratio_30m,1,financial_results,30m,mean_volume_ratio,9.220972191489714,9.220972191489714,72,inferential
highest_mean_volume_ratio_30m,2,investor_communication,30m,mean_volume_ratio,3.216809001115168,3.216809001115168,358,inferential
highest_mean_volume_ratio_30m,3,strategic_transactions,30m,mean_volume_ratio,2.7224570179845102,2.7224570179845102,126,inferential
highest_mean_volume_ratio_30m,4,business_updates,30m,mean_volume_ratio,2.4553648975459303,2.4553648975459303,660,inferential
highest_mean_volume_ratio_30m,5,regulatory_compliance,30m,mean_volume_ratio,2.2267424406414893,2.2267424406414893,122,inferential
highest_mean_volume_ratio_30m,6,corporate_actions,30m,mean_volume_ratio,1.8779122805697148,1.8779122805697148,31,inferential
highest_mean_volume_ratio_30m,7,board_governance,30m,mean_volume_ratio,1.7827720218877816,1.7827720218877816,343,inferential
highest_mean_volume_ratio_30m,8,capital_structure,30m,mean_volume_ratio,1.324320584254609,1.324320584254609,285,inferential
highest_mean_volume_ratio_30m,9,credit_ratings,30m,mean_volume_ratio,1.0749680417723988,1.0749680417723988,30,inferential
highest_mean_volume_ratio_60m,1,financial_results,60m,mean_volume_ratio,6.411268915766399,6.411268915766399,70,inferential
highest_mean_volume_ratio_60m,2,investor_communication,60m,mean_volume_ratio,2.846247964597823,2.846247964597823,353,inferential
highest_mean_volume_ratio_60m,3,strategic_transactions,60m,mean_volume_ratio,2.461139667082151,2.461139667082151,124,inferential
highest_mean_volume_ratio_60m,4,business_updates,60m,mean_volume_ratio,2.2118303410660953,2.2118303410660953,649,inferential
highest_mean_volume_ratio_60m,5,regulatory_compliance,60m,mean_volume_ratio,2.0017727105248313,2.0017727105248313,114,inferential
highest_mean_volume_ratio_60m,6,corporate_actions,60m,mean_volume_ratio,1.808355994893396,1.808355994893396,31,inferential
highest_mean_volume_ratio_60m,7,board_governance,60m,mean_volume_ratio,1.6727690063922709,1.6727690063922709,336,inferential
