subject_group,announcement_count,cluster_count,independent_event_count,analysis_status,largest_cluster_size,median_cluster_size,announcements_in_largest_cluster,share_in_largest_cluster,announcement_to_cluster_ratio,mean_session_close_announcement_level,mean_session_close_independent_level
board_governance,367,352,352,inferential,3,1.0,2,0.005449591280653951,1.0426136363636365,0.0003421943470460875,0.00018928237428519624
business_updates,723,688,688,inferential,4,1.0,4,0.005532503457814661,1.0508720930232558,-0.001676117439167717,-0.0017524048603627348
capital_structure,577,300,300,inferential,5,1.0,230,0.3986135181975737,1.9233333333333333,-0.00013669836755776752,-0.000955323971309851
corporate_actions,32,32,32,inferential,1,1.0,32,1.0,1.0,-0.0028973002276727186,-0.002897300227672719
credit_ratings,34,32,32,inferential,2,1.0,4,0.11764705882352941,1.0625,0.003808644346924697,0.003920000907554522
financial_results,93,75,75,inferential,5,1.0,3,0.03225806451612903,1.24,-0.004949502011924317,-0.004988947756086459
investor_communication,421,370,370,inferential,5,1.0,2,0.004750593824228029,1.1378378378378378,-0.0018963671796982536,-0.0021097978638794737
regulatory_compliance,129,128,128,inferential,2,1.0,2,0.015503875968992248,1.0078125,0.0006944456175782373,0.000299913636081608
strategic_transactions,154,129,129,inferential,6,1.0,6,0.03896103896103896,1.193798449612403,0.0008882358034474148,0.0010852006447525909
