symbol,subject_group,horizon,n,mean_return,median_return,std_return,mean_volume_ratio,median_volume_ratio,mean_range,median_range
HAL,board_governance,5m,88,0.000503788803169845,0.0005000630051650301,0.004641030274502216,1.722126331034797,0.8349907039996637,0.007451988775060713,0.005399093990341219
HAL,board_governance,30m,88,-0.0005222354774455147,-0.00046982262948180864,0.008341989029359577,1.4046095483565617,0.8387120476747167,0.011550988276183201,0.008835755165577441
HAL,board_governance,60m,86,-0.0003852197853817867,-0.0008380469936698498,0.011842658331059176,1.3127162453561463,0.8510355331460686,0.014552517640188547,0.010501500214316284
HAL,board_governance,session_close,90,0.00014318827024413722,-0.002263304446084524,0.01413241651294648,1.238475057734533,1.0321467517880127,0.02075809762879275,0.016489594936866414
HAL,board_governance,d1,90,6.60957348125842e-05,2.8601077318057833e-05,0.021625493026460302,,,,
HAL,board_governance,d5,90,0.011377885305834678,0.012368155847659268,0.04400159409313738,,,,
HAL,board_governance,d10,90,0.017787266018188086,0.010466389657516784,0.06295508935325622,,,,
HAL,board_governance,d20,87,0.019379317416466226,-0.017913403546673923,0.10895833371263236,,,,
HAL,business_updates,5m,93,-0.00034443294049918,0.00022552999548941521,0.007867036725610605,2.479901328731328,1.4248631378387056,0.010541362790264904,0.007728740581270044
HAL,business_updates,30m,92,0.0003797857069587303,0.00014686486150294886,0.009984298583099094,2.024143674111814,1.3594179731510996,0.014680896512602874,0.01135150453732725
HAL,business_updates,60m,87,0.0009903233179513816,0.001062862736871617,0.013717876008337114,1.8663938638224358,1.2665487691309132,0.017935327254446864,0.0150298685782555
HAL,business_updates,session_close,93,0.0019105110903444005,5.5753791257773244e-05,0.014498131920088596,1.5294641688875952,1.1850550366332164,0.023956362472517267,0.018989162750551403
HAL,business_updates,d1,93,0.004629027851237879,0.0016727344288103296,0.025202139418587448,,,,
HAL,business_updates,d5,93,0.014186199874684802,0.00988693299313792,0.0583603257886789,,,,
HAL,business_updates,d10,93,0.021353342536972904,0.004561847667725605,0.0845629488377791,,,,
HAL,business_updates,d20,92,0.03241720400861816,-0.011878465865371834,0.11578966945294332,,,,
HAL,capital_structure,5m,11,0.0019214259827313124,0.0012862031741658342,0.0031688471041141694,1.1035927300803452,0.9162582063393043,0.004063309949358551,0.002601657352091058
