subject_group,independent_event_count,announcement_count,cluster_count,analysis_status,representative_example_subjects,mean_session_close_return,mean_d1_return,mean_d5_return,mean_d20_return,mean_volume_ratio_5m,mean_volume_ratio_session_close,mean_range_session_close,missingness_summary
board_governance,352,367,352,inferential,Shareholder Meeting / Postal Ballot-Outcome of AGM | Shareholder Meeting / Postal Ballot-Scrutinizer''s Report | Announcement under Regulation 30 (LODR)-Amendments to Memorandum & Articles of Association | Announcement under Regulation 30 (LODR)-Appointment of Statutory Auditor/s | Announcement under Regulation 30 (LODR)-Appointment of Statutory Auditor/s,0.00018928237428519624,5.8836469327765816e-05,0.000978996691628586,0.0017105483343774987,2.1248077004137165,1.3834342979901293,0.02442990953006252,5m:2/352; 30m:8/352; 60m:15/352; session_close:0/352; d1:0/352; d5:1/352; d10:3/352; d20:18/352
business_updates,688,723,688,inferential,Disclosure Under Regulation 30 Of The SEBI LODR Regulations | Disclosures Of Material Events Arising Out Of 60Th AGM Of The Company | General Updates | General Update | Update On The Sub-Division Of Equity Shares,-0.0017524048603627348,-0.001400117393337579,0.0033135610458325106,0.013629916591192816,2.9668930154668924,1.704801730172731,0.026416609130305687,5m:5/688; 30m:22/688; 60m:33/688; session_close:1/688; d1:3/688; d5:6/688; d10:7/688; d20:16/688
capital_structure,300,577,300,inferential,Closure of Trading Window | Closure of Trading Window | Closure of Trading Window | Closure of Trading Window | Closure of Trading Window,-0.000955323971309851,-0.0005910138093551184,0.0006374028363634886,0.010386842442898326,1.2685607897321536,1.1691765245364973,0.01741136035397859,5m:3/300; 30m:12/300; 60m:23/300; session_close:0/300; d1:0/300; d5:1/300; d10:2/300; d20:3/300
corporate_actions,32,32,32,inferential,Announcement under Regulation 30 (LODR)-Dividend Updates | Corporate Action-Outcome of Sub division / Stock Split | Corporate Action - Record Date Fixed For Sub-Division Of Equity Shares | Announcement under Regulation 30 (LODR)-Dividend Updates | Board Fixed Record Date For Final Dividend For The FY 2023-24,-0.002897300227672719,0.007235370218042473,0.017569053043487326,-0.00211417622602666,2.0684676133967765,1.3180530885870523,0.023465085437643286,5m:0/32; 30m:0/32; 60m:0/32; session_close:0/32; d1:0/32; d5:0/32; d10:0/32; d20:1/32
credit_ratings,32,34,32,inferential,Announcement under Regulation 30 (LODR)-Credit Rating | Announcement under Regulation 30 (LODR)-Credit Rating | Announcement under Regulation 30 (LODR)-Credit Rating | Announcement under Regulation 30 (LODR)-Credit Rating | Announcement under Regulation 30 (LODR)-Credit Rating,0.003920000907554522,0.0003000569363398555,0.003447322808877341,0.020402198246844284,1.3229858462745416,1.094649230528634,0.021916572755607662,5m:2/32; 30m:2/32; 60m:2/32; session_close:1/32; d1:1/32; d5:1/32; d10:1/32; d20:1/32
financial_results,75,93,75,inferential,"Audited Financial Results For The Quarter And Half Year Ended 30Th September, 2023 | Audited Financial Result''s (Standalone & Consolidated) For The Quarter And Period Ended 31.12.2023, And Declaration Of 1St Interim Dividend. | Audited Financial Results For The Quarter Ended 30.06.2024 | Financial Results For The Period Ended 30.09.2024 | Financial Results For The Quarter And Period Ended 31.12.2024 And Declaration Of First Interim Dividend For The FY 2024-25",-0.004988947756086459,-0.009380331947746389,0.004686174422503081,0.01284459641559681,15.574006542715155,3.8726352275936846,0.0397488920176878,5m:1/75; 30m:3/75; 60m:5/75; session_close:0/75; d1:0/75; d5:0/75; d10:3/75; d20:4/75
investor_communication,370,421,370,inferential,Announcement under Regulation 30 (LODR)-Analyst / Investor Meet - Intimation | Announcement under Regulation 30 (LODR)-Analyst / Investor Meet - Outcome | Announcement under Regulation 30 (LODR)-Analyst / Investor Meet - Outcome | Announcement under Regulation 30 (LODR)-Analyst / Investor Meet - Intimation | Announcement under Regulation 30 (LODR)-Analyst / Investor Meet - Intimation,-0.0021097978638794737,-0.0004924417953141208,0.00659722226359209,0.018547299983505232,3.913147838530079,1.9428992121654336,0.027289296406568672,5m:1/370; 30m:7/370; 60m:14/370; session_close:0/370; d1:0/370; d5:5/370; d10:10/370; d20:19/370
regulatory_compliance,128,129,128,inferential,"Compliances-Certificate under Reg. 74 (5) of SEBI (DP) Regulations, 2018 | Compliances-Certificate under Reg. 74 (5) of SEBI (DP) Regulations, 2018 | Compliances-Certificate under Reg. 74 (5) of SEBI (DP) Regulations, 2018 | Clarification sough from Hindustan Aeronautics Ltd | Compliance Under Reg 40(9) Of The SEBI (LODR) Regulation, 2015",0.000299913636081608,-0.0024940234322109894,2.9247353945219e-05,0.009593112235507456,2.692920034542261,1.647658888530227,0.025787191840367887,5m:0/128; 30m:5/128; 60m:13/128; session_close:0/128; d1:0/128; d5:1/128; d10:1/128; d20:7/128
strategic_transactions,129,154,129,inferential,Announcement under Regulation 30 (LODR)-Joint Venture | Announcement under Regulation 30 (LODR)-Award_of_Order_Receipt_of_Order | Announcement under Regulation 30 (LODR)-Award_of_Order_Receipt_of_Order | Announcement under Regulation 30 (LODR)-Award_of_Order_Receipt_of_Order | Announcement under Regulation 30 (LODR)-Award_of_Order_Receipt_of_Order,0.0010852006447525909,0.0013785549809955196,0.009726524719895165,0.04164233455067902,3.4848530530569226,2.1733699699031295,0.03374313368045802,5m:0/129; 30m:2/129; 60m:4/129; session_close:0/129; d1:0/129; d5:0/129; d10:0/129; d20:2/129
