symbol,subject_group,horizon,independent_event_count,analysis_status,n,mean_return,median_return,standard_error,ci95_lower,ci95_upper
HAL,board_governance,5m,85,inferential,83,0.0004780859615005576,0.0004833301446969,0.0005052327589122489,-0.0005121702459674501,0.0014683421689685654
HAL,board_governance,30m,85,inferential,83,-0.0007395659163152254,-0.0005719733079122,0.0009288770941690957,-0.002560165020886653,0.0010810331882562022
HAL,board_governance,60m,85,inferential,81,-0.0008616782835394047,-0.0008688693266263,0.0012426619678625607,-0.0032972957405500236,0.001573939173471214
HAL,board_governance,session_close,85,inferential,85,-8.0179566623593e-05,-0.0005684754521962,0.0014702982046649704,-0.002961964047766935,0.0028016049145197486
HAL,board_governance,d1,85,inferential,85,-0.0008860595573023593,-0.0002880245780974,0.0022605003831199172,-0.005316640308217397,0.003544521193612678
HAL,board_governance,d5,85,inferential,85,0.011302015893742781,0.0128702195508041,0.0047135420341311,0.0020634735068458254,0.020540558280639738
HAL,board_governance,d10,85,inferential,85,0.019880496146633876,0.012576064908722,0.006849336075268371,0.006455797439107869,0.033305194854159885
HAL,board_governance,d20,85,inferential,82,0.020634476987045364,-0.016745145895778548,0.012129636200362122,-0.0031396099656643937,0.04440856393975512
HAL,business_updates,5m,89,inferential,89,-0.00037619897126287726,0.0002043968023257,0.0008504761371348708,-0.002043132200047224,0.0012907342575214694
HAL,business_updates,30m,89,inferential,88,0.0002899950284569299,0.0001468648615029153,0.0010656976254267776,-0.0017987723173795542,0.002378762374293414
HAL,business_updates,60m,89,inferential,83,0.0010654400283424828,0.0011229289376668,0.0015308584032640074,-0.0019350424420549717,0.004065922498739938
HAL,business_updates,session_close,89,inferential,89,0.002089062449514006,0.0002005302912144,0.0015601620016074962,-0.0009688550736366864,0.005146979972664698
HAL,business_updates,d1,89,inferential,89,0.004242553018054282,0.0013531799729364,0.002714868591567998,-0.0010785894214189948,0.009563695457527558
HAL,business_updates,d5,89,inferential,89,0.015072843669008969,0.0098869329931379,0.006192794959910597,0.0029349655475841997,0.02721072179043374
HAL,business_updates,d10,89,inferential,89,0.021147839345336546,0.0045389156208144,0.008954287315681915,0.003597436206599993,0.038698242484073095
HAL,business_updates,d20,89,inferential,88,0.03474864365808344,-0.011878465865371751,0.012415370522812604,0.010414517433370733,0.05908276988279614
HAL,capital_structure,5m,11,inferential,11,0.0019214259827312946,0.0012862031741658,0.0009554433511228069,4.875701453059306e-05,0.003794094950931996
HAL,capital_structure,30m,11,inferential,10,0.00315063684988053,0.0017278887270452,0.0017054617165716249,-0.00019206811459985445,0.006493341814360915
HAL,capital_structure,60m,11,inferential,10,0.00173207442567356,5.547335076920004e-05,0.0025640492807792415,-0.0032934621646537538,0.0067576110160008735
HAL,capital_structure,session_close,11,inferential,11,0.0005131525168809818,-0.0012866755257439,0.005130999587322205,-0.00954360667427054,0.010569911708032504
HAL,capital_structure,d1,11,inferential,11,0.0023436506043043727,0.0004429538695185,0.005224601456943584,-0.007896568251305051,0.012583869459913797
HAL,capital_structure,d5,11,inferential,11,0.0252519847278775,0.0219156700204603,0.01579137494219953,-0.0056991101588335785,0.05620307961458858
HAL,capital_structure,d10,11,inferential,11,0.040058908194418916,0.0222823491962438,0.024493711074233978,-0.007948765511079682,0.0880665818999175
HAL,capital_structure,d20,11,inferential,11,0.024726022147154178,-0.0027420953827332,0.037184900212107276,-0.048156382268576076,0.09760842656288443
HAL,corporate_actions,5m,12,inferential,12,0.002979779102228725,0.0019893090772098,0.0011548056776644047,0.000716359974006492,0.005243198230450958
HAL,corporate_actions,30m,12,inferential,12,0.0005391447528633417,-0.0013117400736591,0.0016616886025892293,-0.0027177649082115478,0.003796054413938231
HAL,corporate_actions,60m,12,inferential,12,0.0015076590412355167,-0.0008072246607133,0.0027351547876864005,-0.0038532443426298286,0.0068685624251008616
HAL,corporate_actions,session_close,12,inferential,12,0.0023317378807531084,0.0016901266333686,0.004547682902122273,-0.006581720607406546,0.011245196368912762
HAL,corporate_actions,d1,12,inferential,12,-0.0012728916733276586,-0.0019171585691942,0.008289159858282536,-0.01751964499556143,0.014973861648906111
HAL,corporate_actions,d5,12,inferential,12,-8.033945410432519e-05,0.01292212246853425,0.011349645770083698,-0.022325645163468376,0.022164966255259724
HAL,corporate_actions,d10,12,inferential,12,-0.010171688515374892,0.0024698311461275,0.01704316768925612,-0.043576297186316885,0.023232920155567098
HAL,corporate_actions,d20,12,inferential,12,-0.03826677222484832,-0.05149839753687095,0.01621188974258506,-0.07004207612031504,-0.006491468329381599
HAL,credit_ratings,5m,5,descriptive_only,5,-0.0010626134829007398,-0.0009370494954348,0.00132960900808447,-0.003668647138746301,0.0015434201729448214
HAL,credit_ratings,30m,5,descriptive_only,5,-0.00017598310736565478,1.2013455069626032e-05,0.0016299234306071375,-0.0033706330313556443,0.0030186668166243347
HAL,credit_ratings,60m,5,descriptive_only,5,0.0027108187894653198,0.0023185968284478,0.0020805933248717497,-0.0013671441272833096,0.006788781706213949
HAL,credit_ratings,session_close,5,descriptive_only,5,0.007243615801373999,0.012253980193055,0.007034827324374402,-0.006544645754399828,0.021031877357147826
HAL,credit_ratings,d1,5,descriptive_only,5,0.008457622436861222,0.0044250012571025,0.008678424452244227,-0.008552089489537461,0.025467334363259906
HAL,credit_ratings,d5,5,descriptive_only,5,0.015295166865059783,0.0052495072102916,0.013745640303412753,-0.011646288129629211,0.042236621859748774
HAL,credit_ratings,d10,5,descriptive_only,5,-0.013322959682320121,-0.0160805062765847,0.020435746008641596,-0.05337702185925765,0.02673110249461741
HAL,credit_ratings,d20,5,descriptive_only,5,0.029462030743086766,0.0326092422185348,0.032274518534360815,-0.03379602558426043,0.09272008707043397
HAL,financial_results,5m,13,inferential,13,0.004745531791033893,0.003666094848099,0.0030398401605066677,-0.0012125549235591756,0.010703618505626962
HAL,financial_results,30m,13,inferential,13,0.00952466114059813,0.0084892542629229,0.00632118167004466,-0.002864854932689403,0.021914177213885666
HAL,financial_results,60m,13,inferential,13,0.0069577248930870386,0.0056664142832718,0.007022672346652974,-0.006806712906352791,0.020722162692526868
HAL,financial_results,session_close,13,inferential,13,0.008236495427407824,-0.0014557857083437,0.008127779967046894,-0.007693953308004087,0.024166944162819736
HAL,financial_results,d1,13,inferential,13,0.012286632986032038,0.015625433269556,0.008499727291390662,-0.00437283250509366,0.028946098477157733
